anime,count,appearances
angel beats!,3,"ken, bacon, abo"
attack on titan,6,"abo, kar, bacon, red, bry, ken"
jujutsu kaisen,7,"tune, abo, kar, bacon, red, bry, ken"
konosuba: god's blessing on this wonderful world!,5,"abo, kar, bacon, red, ken"
mashle: magic and muscles,2,"bacon, abo"
one piece,5,"tune, abo, kar, bacon, red"
re:zero − starting life in another world,6,"abo, kar, bacon, red, bry, ken"
solo leveling,3,"red, bacon, abo"
tsuki ga kirei,2,"ken, abo"
your lie in april,3,"ken, bacon, abo"
a place further than the universe,1,bacon
atri -my dear moments-,1,bacon
aggretsuko,1,bacon
anohana: the flower we saw that day,2,"ken, bacon"
assassination classroom,3,"ken, hy, bacon"
black butler,1,bacon
black clover,2,"ken, bacon"
bleach,2,"red, bacon"
blend s,2,"ken, bacon"
bocchi the rock!,1,bacon
boruto: naruto next generations,1,bacon
chainsaw man,5,"kar, bacon, red, bry, ken"
classroom of the elite,2,"ken, bacon"
cyberpunk: edgerunners,2,"bry, bacon"
darling in the franxx,2,"ken, bacon"
death note,2,"ken, bacon"
demon slayer: kimetsu no yaiba,3,"ken, red, bacon"
digimon,1,bacon
dr. stone,2,"ken, bacon"
dragon ball,2,"kar, bacon"
eromanga sensei,2,"ken, bacon"
fairy tail,1,bacon
fate/stay night,2,"ken, bacon"
fire force,3,"ken, red, bacon"
food wars!: shokugeki no soma,1,bacon
frieren: beyond journey’s end,2,"bry, bacon"
gabriel dropout,2,"ken, bacon"
girls' last tour,1,bacon
haikyuu!!,1,bacon
highschool of the dead,1,bacon
himouto! umaru-chan,2,"ken, bacon"
how not to summon a demon lord,2,"ken, bacon"
hunter x hunter,3,"kar, red, bacon"
is it wrong to try to pick up girls in a dungeon?,2,"ken, bacon"
isekai quartet,2,"kar, bacon"
jojo's bizarre adventure,3,"ken, red, bacon"
kaguya-sama: love is war,2,"ken, bacon"
kill la kill,1,bacon
komi can't communicate,3,"ken, red, bacon"
made in abyss,4,"bry, kar, red, bacon"
magi: the kingdom of magic,1,bacon
masamune-kun's revenge,2,"ken, bacon"
miss kobayashi's dragon maid,3,"ken, red, bacon"
mob psycho 100,3,"kar, red, bacon"
monster,1,bacon
monster musume,1,bacon
mushoku tensei: jobless reincarnation,2,"ken, bacon"
my deer friend nokotan,2,"ken, bacon"
my dress-up darling,2,"ken, bacon"
my first girlfriend is a gal,2,"ken, bacon"
my hero academia,3,"ken, red, bacon"
my next life as a villainess: all routes lead to doom!,2,"ken, bacon"
naruto,2,"red, bacon"
new game!,1,bacon
nichijou,1,bacon
nisekoi,2,"ken, bacon"
no game no life,2,"ken, bacon"
one punch man,3,"kar, red, bacon"
oreshura,2,"ken, bacon"
oshi no ko,3,"bry, ken, bacon"
overlord,3,"kar, ken, bacon"
pokémon,1,bacon
puella magi madoka magica,1,bacon
ranking of kings,1,bacon
rascal does not dream of bunny girl senpai,3,"ken, hy, bacon"
redo of healer,2,"ken, bacon"
reincarnated as a sword,2,"ken, bacon"
rent-a-girlfriend,2,"ken, bacon"
scott pilgrim takes off,1,bacon
spy x family,2,"ken, bacon"
sword art online,2,"ken, bacon"
that time i got reincarnated as a slime,3,"ken, hy, bacon"
"the 100 girlfriends who really, really, really, really, really love you",2,"ken, bacon"
the misfit of demon king academy,2,"ken, bacon"
the promised neverland,3,"kar, ken, bacon"
the quintessential quintuplets,2,"ken, bacon"
the rising of the shield hero,2,"ken, bacon"
the saga of tanya the evil,1,bacon
tonikawa: over the moon for you,2,"ken, bacon"
